WKT,loc_nr_def
POINT (4.90205660980361 52.3765961797857),100001
POINT (4.90202607083708 52.3766301923127),100002
POINT (4.90199596580866 52.3766608285256),100003
POINT (4.90195639486768 52.3766899619684),100004
POINT (4.90192255502709 52.3767202907087),100005
POINT (4.90189246752673 52.37675766576),100006
POINT (4.90182654642297 52.3767450914216),100007
POINT (4.90175382786008 52.3767412778576),100008
POINT (4.90164386968145 52.3767285228756),100009
POINT (4.90158173310163 52.3767200653018),100010
POINT (4.90151479065411 52.3767133457193),100011
POINT (4.90143546070832 52.3767013020758),100012
POINT (4.90136087252088 52.3766933792173),100013
POINT (4.901284369704 52.3766854484548),100014
POINT (4.90119641108013 52.3766745410661),100015
POINT (4.90112259380683 52.3766399622301),100016
POINT (4.90105157798506 52.3766118398799),100017
POINT (4.90098672064255 52.376589601893),100018
POINT (4.90091753291683 52.3765693967786),100019
POINT (4.90080576996412 52.376590323539),100020
POINT (4.90075416432336 52.376581908786),100021
POINT (4.9008854784595 52.376480499483),100022
POINT (4.9009067708426 52.3764594940983),100023
POINT (4.90068923326549 52.3765664083196),100045
POINT (4.90095313345075 52.376422186126),100025
POINT (4.90134756477421 52.3765259194298),100026
POINT (4.90062104892199 52.376547320328),100027
POINT (4.90078334002777 52.3763849623832),100028
POINT (4.90053479644788 52.3765232785199),100029
POINT (4.90046217332041 52.3765020794202),100030
POINT (4.90040430253235 52.3764851210443),100031
POINT (4.90035212338245 52.3764681860407),100032
POINT (4.9002987677139 52.3764547296105),100033
POINT (4.90024433495095 52.376435695232),100034
POINT (4.90047403983074 52.3762506242491),100035
POINT (4.90054434006004 52.3762759939182),100036
POINT (4.90018091809375 52.3764054768886),100037
POINT (4.90013212347057 52.3763913424549),100038
POINT (4.90006175442949 52.37637224244),100039
POINT (4.90015247704894 52.3763001601955),100040
POINT (4.90022483338874 52.3762419360882),100041
POINT (4.90028337683637 52.3761975888757),100042
POINT (4.90032466961252 52.3761691945041),100043
POINT (4.90037628359661 52.3761338756829),100044
POINT (4.90058097305835 52.3761535275814),100046
POINT (4.90040750733279 52.3760894160874),100047
POINT (4.90043062522493 52.3760574635261),100048
POINT (4.90047538621491 52.3760242065506),100049
POINT (4.90051323320819 52.375998584697),100050
POINT (4.90055681755142 52.375968806289),100051
POINT (4.90060852283391 52.3759251274988),100052
POINT (4.89996132441652 52.3762917102494),100053
POINT (4.89990002384541 52.3762761308858),100054
POINT (4.89985350608118 52.3762620057061),100055
POINT (4.89981041859708 52.3762465012533),100056
POINT (4.89974919470804 52.3762239552579),100057
POINT (4.89996749250142 52.3761447346974),100058
POINT (4.90002263068616 52.3759958705655),100059
POINT (4.90005830842854 52.3759604863147),100060
POINT (4.900096163259 52.3759341679389),100061
POINT (4.90015008435986 52.3758960719578),100062
POINT (4.90022935259696 52.3759340190691),100063
POINT (4.90030762032423 52.3759594216484),100064
POINT (4.90028764963019 52.3760157711691),100065
POINT (4.90025094079988 52.3760413976315),100066
POINT (4.90020052632877 52.3760711478368),100067
POINT (4.90038822695375 52.3758754539474),100068
POINT (4.9004549366519 52.3758130263613),100069
POINT (4.90029900458223 52.3758109919089),100070
POINT (4.90025479437529 52.3757940896252),100071
POINT (4.90022215079056 52.3757605144077),100072
POINT (4.90018379280759 52.375729005739),100073
POINT (4.90002986982248 52.3757513632374),100074
POINT (4.89999727235536 52.375713608025),100075
POINT (4.89996347542016 52.3756814213634),100076
POINT (4.89992857085104 52.3756464433859),100077
POINT (4.89990159614338 52.3756149814665),100078
POINT (4.89986100785053 52.3755792833909),100079
POINT (4.89982160385 52.3755394100537),100080
POINT (4.90002488419852 52.3755834411689),100081
POINT (4.89969964550074 52.3755535384397),100082
POINT (4.89963904781852 52.3755776729877),100083
POINT (4.899576188796 52.3756004048184),100084
POINT (4.89962106201967 52.3756605046803),100085
POINT (4.89967524851798 52.375701832321),100086
POINT (4.89947218248027 52.3756382942541),100087
POINT (4.89952182327898 52.3756789065553),100088
POINT (4.89956680373944 52.3757292532608),100089
POINT (4.89942504493242 52.3756805979948),100090
POINT (4.89935301029788 52.3757095620926),100091
POINT (4.89927528406989 52.375738502694),100092
POINT (4.89921237097848 52.3757661109181),100093
POINT (4.89916664731336 52.3757833396515),100094
POINT (4.89909252741133 52.3757948778222),100095
POINT (4.89899094253219 52.3758195397648),100096
POINT (4.89936094431019 52.3758161878867),100097
POINT (4.89903379928072 52.3758559441773),100099
POINT (4.89908918510837 52.3758917035341),100100
POINT (4.89912651147694 52.3759134546887),100101
POINT (4.89915808503071 52.3759407556166),100102
POINT (4.89920887185018 52.3759806760828),100103
POINT (4.89925628982568 52.3760164025229),100104
POINT (4.89939797624469 52.3759682182028),100105
POINT (4.89947995792146 52.3759443590411),100106
POINT (4.89962293473767 52.375904352827),100107
POINT (4.89970363555681 52.3758839182374),100109
POINT (4.89975962475322 52.3758644238483),100110
POINT (4.89971680980279 52.3758233033889),100111
POINT (4.89965915337339 52.3757676404278),100112
POINT (4.89984229293181 52.3758321037319),100113
POINT (4.89990737517244 52.375814257718),100114
POINT (4.89961171537368 52.3757858698477),100115
POINT (4.89955800841269 52.3758044592323),100116
POINT (4.89950014745914 52.3758240402013),100117
POINT (4.89955965693544 52.3758615943515),100118
POINT (4.90004614088165 52.3758245823073),100119
POINT (4.8999741293764 52.375851456816),100120
POINT (4.89990900883765 52.3758727861436),100121
POINT (4.89971479280812 52.3759360819412),100122
POINT (4.8996702457566 52.3759498322777),100123
POINT (4.8996211224789 52.3759656538152),100124
POINT (4.89956397740666 52.3759863191064),100125
POINT (4.89950687058317 52.3760035010928),100126
POINT (4.8994611544481 52.3760200332837),100127
POINT (4.89932166791529 52.3760751936124),100128
POINT (4.89938285306922 52.3761012231058),100129
POINT (4.89946564319972 52.3761294316198),100130
POINT (4.89955408669068 52.3761611467918),100131
POINT (4.89961417974093 52.3761829915456),100132
