WKT,nummer
"POINT (172359.315896691 545309.100848626)",999999
"POINT (121964.340286954 487746.73316351)",1
"POINT (121962.286123384 487750.531428224)",2
"POINT (121960.258996095 487753.953836428)",3
"POINT (121957.586188147 487757.213358316)",4
"POINT (121955.304522826 487760.603261079)",5
"POINT (121953.283619256 487764.775449095)",6
"POINT (121948.785479051 487763.406449903)",7
"POINT (121943.831005782 487763.015307276)",8
"POINT (121936.33410544 487761.646308083)",9
"POINT (121932.096726986 487760.733641954)",10
"POINT (121927.533396343 487760.016547139)",11
"POINT (121922.12259001 487758.712738384)",12
"POINT (121917.037735865 487757.865262693)",13
"POINT (121911.822500845 487757.017787003)",14
"POINT (121905.824980572 487755.844359123)",15
"POINT (121900.772721646 487752.030718515)",16
"POINT (121895.916034033 487748.934172721)",17
"POINT (121891.483084266 487746.489531306)",18
"POINT (121886.756777529 487744.273056422)",19
"POINT (121879.162091531 487746.6525074)",20
"POINT (121875.641807892 487745.739841271)",21
"POINT (121884.507707426 487734.396705102)",22
"POINT (121885.941897057 487732.049849343)",23
"POINT (121871.208858125 487744.04488989)",45
"POINT (121889.071038069 487727.877661327)",25
"POINT (121916.006654918 487739.239224115)",26
"POINT (121866.551698021 487741.95227034)",27
"POINT (121877.481398527 487723.813618437)",28
"POINT (121860.660511933 487739.316739721)",29
"POINT (121855.699513122 487736.991271529)",30
"POINT (121851.746217195 487735.130896975)",31
"POINT (121848.180499299 487733.270522421)",32
"POINT (121844.537265798 487731.797725899)",33
"POINT (121840.816516689 487729.704804525)",34
"POINT (121856.319637974 487709.008137611)",35
"POINT (121861.125605572 487711.798699442)",36
"POINT (121836.47564273 487726.371633449)",37
"POINT (121833.142471654 487724.821321321)",38
"POINT (121828.336504056 487722.728399947)",39
"POINT (121834.460236963 487714.666776879)",40
"POINT (121839.343720167 487708.15546594)",41
"POINT (121843.297016095 487703.194467129)",42
"POINT (121846.087577926 487700.016327266)",43
"POINT (121849.575780215 487696.063031338)",44
"POINT (121863.528589371 487698.155952712)",46
"POINT (121851.668701588 487691.102032527)",47
"POINT (121853.219013717 487687.536314632)",48
"POINT (121856.242122367 487683.815565524)",49
"POINT (121858.800137379 487680.947488086)",50
"POINT (121861.745730423 487677.61431701)",51
"POINT (121865.233932712 487672.730833805)",52
"POINT (121821.437615084 487713.814105209)",53
"POINT (121817.251772337 487712.108761867)",54
"POINT (121814.073632474 487710.558449739)",55
"POINT (121811.12803943 487708.853106398)",56
"POINT (121806.942196683 487706.372606992)",57
"POINT (121821.74767751 487697.458312254)",58
"POINT (121825.390911012 487680.86997248)",59
"POINT (121827.793894811 487676.916676552)",60
"POINT (121830.351909823 487673.971083508)",61
"POINT (121833.995143324 487669.707725155)",62
"POINT (121839.421235774 487673.893567902)",63
"POINT (121844.769812617 487676.684129733)",64
"POINT (121843.452047308 487682.962893853)",65
"POINT (121840.971547902 487685.830971291)",66
"POINT (121837.56086122 487689.164142367)",67
"POINT (121850.195905066 487667.304741356)",68
"POINT (121854.691810239 487660.328336778)",69
"POINT (121844.072172159 487660.173305565)",70
"POINT (121841.049063509 487658.312931011)",71
"POINT (121838.801110922 487654.592181903)",72
"POINT (121836.165580304 487651.103979614)",73
"POINT (121825.700973437 487653.661994626)",74
"POINT (121823.453020851 487649.476151879)",75
"POINT (121821.127552658 487645.910433984)",76
"POINT (121818.724568859 487642.034653662)",77
"POINT (121816.864194305 487638.546451373)",78
"POINT (121814.073632474 487634.593155446)",79
"POINT (121811.360586249 487630.17476588)",80
"POINT (121825.235879799 487634.980733478)",81
"POINT (121803.066416362 487631.802593615)",82
"POINT (121798.958089222 487634.51563984)",83
"POINT (121794.694730869 487637.073654851)",84
"POINT (121797.795355125 487643.739997004)",85
"POINT (121801.516104234 487648.313417783)",86
"POINT (121787.640810684 487641.337013205)",87
"POINT (121791.051497367 487645.832918377)",88
"POINT (121794.152121624 487651.41404204)",89
"POINT (121784.462670821 487646.065465196)",90
"POINT (121779.579187616 487649.321120666)",91
"POINT (121774.30812638 487652.576776136)",92
"POINT (121770.044768027 487655.677400393)",93
"POINT (121766.94414377 487657.615290553)",94
"POINT (121761.905629352 487658.933055862)",95
"POINT (121755.006740381 487661.723617694)",96
"POINT (121780.199312468 487661.181008449)",97
"POINT (121757.952333425 487665.754429228)",99
"POINT (121761.750598139 487669.707725155)",100
"POINT (121764.308613151 487672.110708954)",101
"POINT (121766.479050131 487675.133817605)",102
"POINT (121769.96725242 487679.552207171)",103
"POINT (121773.22290789 487683.505503098)",104
"POINT (121782.834843086 487678.079410649)",105
"POINT (121788.399459193 487675.387191074)",106
"POINT (121798.105417551 487670.870459251)",107
"POINT (121803.58539395 487668.559872486)",109
"POINT (121807.383355306 487666.365219478)",110
"POINT (121804.437119816 487661.809636972)",111
"POINT (121800.469369665 487655.642810156)",112
"POINT (121812.988413984 487662.731320577)",113
"POINT (121817.40680355 487660.71591481)",114
"POINT (121797.252745881 487657.69280616)",115
"POINT (121793.609512379 487659.785727533)",116
"POINT (121789.684160436 487661.990882021)",117
"POINT (121793.764543592 487666.14200726)",118
"POINT (121826.863707534 487661.8011333)",119
"POINT (121821.980224329 487664.82424195)",120
"POINT (121817.561834763 487667.227225749)",121
"POINT (121804.384181671 487674.35866154)",122
"POINT (121801.361073021 487675.908973669)",123
"POINT (121798.027901945 487677.691832616)",124
"POINT (121794.152121624 487680.017300809)",125
"POINT (121790.276341303 487681.95519097)",126
"POINT (121787.175717046 487683.815565524)",127
"POINT (121777.718813062 487690.016814037)",128
"POINT (121781.904655809 487692.884891475)",129
"POINT (121787.563295078 487695.985515732)",130
"POINT (121793.609512379 487699.473718021)",131
"POINT (121797.717839519 487701.87670182)",132
"POINT (121802.988900756 487694.202656784)",133
"POINT (121806.167040619 487691.102032527)",134
"POINT (121809.035118057 487688.544017515)",135
"POINT (121811.360586249 487686.06351811)",136
"POINT (121814.461210506 487682.342769002)",137
"POINT (121817.871897189 487677.769348223)",138
"POINT (121821.592646297 487673.893567902)",139
