locatiepunt,straat1909,nr1909,tvg1909,buurt1876,straat1876,steeg1876,nr1876,tvg1876,buurt1853,nr1853,tvg1853,concat1853,sectie1832,perceelnr1832,tvg1832,concat1832
1,Prins Hendrikkade,93,,M,Kamperhoofd,,6,,M,128,,M128,G,439,,G439
2,Prins Hendrikkade,92,,M,Kamperhoofd,,5,,M,129,,M129,G,438,,G438
3,Prins Hendrikkade,91,,M,Kamperhoofd,,4,,M,130,,M130,G,437,,G437
4,Prins Hendrikkade,90,,M,Kamperhoofd,,3,,M,131,,M131,G,436,,G436
5,Prins Hendrikkade,89,,M,Kamperhoofd,,2,,M,132,,M132,G,435,,G435
6,Prins Hendrikkade,88,,M,Kamperhoofd,,1,,M,133,,M133,G,434,,G434
7,Prins Hendrikkade,87,,M,Oude Teertuinen,,1,,M,134,,M134,G,433,,G433
8,Prins Hendrikkade,86,,M,Oude Teertuinen,,2,,M,135,,M135,G,432,,G432
9,Prins Hendrikkade,85,,M,Oude Teertuinen,,3,,M,136,,M136,G,431,,G431
10,Prins Hendrikkade,84,,M,Oude Teertuinen,,4,,M,137,,M137,G,430,,G430
11,Prins Hendrikkade,83,,M,Oude Teertuinen,,5,,M,138,,M138,G,429,,G429
12,Prins Hendrikkade,82,,M,Oude Teertuinen,,6,,M,139,,M139,G,428,,G428
13,Prins Hendrikkade,81,,M,Oude Teertuinen,,7,,M,140,,M140,G,427,,G427
14,Prins Hendrikkade,80,,M,Oude Teertuinen,,8,,M,141,,M141,G,426,,G426
15,Prins Hendrikkade,79,,M,Oude Teertuinen,,9,,M,142,,M142,G,424,,G424
16,Prins Hendrikkade,74,,M,Oude Teertuinen,,11,,M,144,,M144,G,423,,G423
17,Prins Hendrikkade,74,,M,Oude Teertuinen,,12,,M,145,,M145,G,422,,G422
18,Prins Hendrikkade,74,,M,Oude Teertuinen,,13,,M,146,,M146,G,421,,G421
19,Prins Hendrikkade,74,,M,Oude Teertuinen,,14,,M,147,,M147,G,420,,G420
20,Prins Hendrikkade,73,,M,Oude Teertuinen,,15,,M,151,,M151,G,416,,G416
21,Prins Hendrikkade,73,,M,Oude Teertuinen,,15,,M,152,,M152,G,415,,G415
22,Prins Hendrikkade,73,,M,Oude Teertuinen,,15,,M,150,,M150,G,417,,G417
23,Prins Hendrikkade,73,,M,Oude Teertuinen,,15,,M,150,,M150,,,,
24,,,,,,,,,M,149,,M149,G,419,,G419
25,,,,M,Oude Teertuinen,,15,,,,,,,,,
26,,,,M,Oudezijds Kolk,,10,,M,143,,M143,G,425,,G425
27,Oude Teertuinen,69,,M,Oude Teertuinen,,19,,M,156,,M156,G,412,,G412
28,Oude Teertuinen,70,,M,Oude Teertuinen,,18,,M,155,,M155,G,413,,G413
29,Oude Teertuinen,68,,M,Oude Teertuinen,,20,,M,157,,M157,G,411,,G411
30,Oude Teertuinen,67,,M,Oude Teertuinen,,21,,M,158,,M158,G,410,,G410
31,Oude Teertuinen,66,,M,Oude Teertuinen,,22,,M,159,,M159,G,409,b,G409b
32,Oude Teertuinen,65,,M,Oude Teertuinen,,23,,M,160,,M160,G,409,,G409
33,Oude Teertuinen,64,,M,Oude Teertuinen,,24,,M,161,,M161,G,408,,G408
34,Oude Teertuinen,63,,M,Oude Teertuinen,,25,,M,162,,M162,G,407,,G407
35,Oude Teertuinen,61,,M,Oude Teertuinen,,27,,M,164,,M164,G,405,,G405
36,Oude Teertuinen,62,,M,Oude Teertuinen,,26,,M,163,,M163,G,406,,G406
37,Oude Teertuinen,60,,M,Oude Teertuinen,,28,,M,165,,M165,G,404,,G404
38,Oude Teertuinen,59,,M,Oude Teertuinen,,29,,M,166,,M166,G,403,,G403
39,Oude Teertuinen,58,,M,Oude Teertuinen,,30,,M,167,,M167,G,402,,G402
40,Zeedijk,1,,M,Zeedijk,,1,,M,1,,M1,G,468,,G468
41,Zeedijk,3,,M,Zeedijk,,3,,M,2,,M2,G,467,,G467
42,Zeedijk,5,,M,Zeedijk,,5,,M,3,,M3,G,466,,G466
43,Zeedijk,7,,M,Zeedijk,,7,,M,4,,M4,G,465,,G465
44,Zeedijk,9,,M,Zeedijk,,9,,M,5,,M5,G,464,,G464
45,Oude Teertuinen,72,,M,Oude Teertuinen,,16,,M,153,,M153,G,414,,G414
46,,,,,,,,,M,6,,M6,G,463,,G463
47,Zeedijk,11,,M,Zeedijk,,11,,M,9,,M9,G,462,,G462
48,Zeedijk,13,,M,Zeedijk,,13,,M,10,,M10,G,461,,G461
49,Zeedijk,15,,M,Zeedijk,,15,,M,11,,M11,G,459,,G459
50,Zeedijk,17,,M,Zeedijk,,17,,M,12,,M12,G,458,,G458
51,Zeedijk,17,,M,Zeedijk,,17,,M,13,,M13,G,457,,G457
52,Zeedijk,19,,M,Zeedijk,,19,,M,14,,M14,G,456,,G456
53,Olofspoort,1,,M,Olofspoort,,1,,M,426,,M426,G,473,,G473
54,Olofspoort,3,,M,Olofspoort,,3,,M,425,,M425,G,472,,G472
55,Olofspoort,5,,M,Olofspoort,,5,,M,424,,M424,G,471,,G471
56,Olofspoort,7,,M,Olofspoort,,7,,M,423,,M423,G,470,,G470
57,Olofspoort,9,,M,Olofspoort,,9,,M,422,,M422,G,469,,G469
58,Zeedijk,2,,M,Zeedijk,,2,,M,181,,M181,G,474,,G474
59,Engel Kapelsteeg,1,,M,Engel Kapelsteeg,,1,,M,267,,M267,G,483,,G483
60,Engel Kapelsteeg,3,,M,Engel Kapelsteeg,,3,,M,266,,M266,G,482,,G482
61,Engel Kapelsteeg,5,,M,Engel Kapelsteeg,,5,,M,265,,M265,G,481,,G481
62,Engel Kapelsteeg,7,,M,Engel Kapelsteeg,,7,,M,264,,M264,G,480,,G480
63,Zeedijk,10,,M,Zeedijk,,10,,M,263,,M263,G,479,,G479
64,Zeedijk,10,,M,Zeedijk,,10,,M,185,,M185,G,478,,G478
65,Zeedijk,8,,M,Zeedijk,,8,,M,184,,M184,G,477,,G477
66,Zeedijk,6,,M,Zeedijk,,6,,M,183,,M183,G,476,,G476
67,Zeedijk,4,,M,Zeedijk,,4,,M,182,,M182,G,475,,G475
68,Zeedijk,12,,M,Zeedijk,,12,,M,186,,M186,G,488,,G488
69,Zeedijk,14,,M,Zeedijk,,14,,M,187,,M187,G,489,,G489
70,Wijde Oudezijds Kapelsteeg,1,,M,Wijde Kapelsteeg,,1,,M,262,,M262,G,487,,G487
71,Wijde Oudezijds Kapelsteeg,2,,M,Wijde Kapelsteeg,,2,,M,261,,M261,G,486,,G486
72,Wijde Oudezijds Kapelsteeg,3,,M,Wijde Kapelsteeg,,3,,M,260,,M260,G,485,,G485
73,Wijde Oudezijds Kapelsteeg,4,,M,Wijde Kapelsteeg,,4,,M,259,,M259,G,484,,G484
74,Oudezijds Voorburgswal,2,,M,Oudezijds Voorburgswal,,2,,M,291,,M291,G,528,,G528
75,Oudezijds Voorburgswal,4,,M,Oudezijds Voorburgswal,,4,,M,292,,M292,G,529,,G529
76,Oudezijds Voorburgswal,6,,M,Oudezijds Voorburgswal,,6,,M,293,,M293,G,530,,G530
77,Oudezijds Voorburgswal,8,,M,Oudezijds Voorburgswal,,8,,M,294,,M294,G,531,,G531
