"lp","straaturi","year"
100001,"https://adamlink.nl/geo/street/kamperhoofd/5681",1876
100002,"https://adamlink.nl/geo/street/kamperhoofd/5681",1876
100003,"https://adamlink.nl/geo/street/kamperhoofd/5681",1876
100004,"https://adamlink.nl/geo/street/kamperhoofd/5681",1876
100005,"https://adamlink.nl/geo/street/kamperhoofd/5681",1876
100006,"https://adamlink.nl/geo/street/kamperhoofd/5681",1876
100007,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100008,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100009,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100010,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100011,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100012,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100013,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100014,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100015,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100016,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100017,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100018,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100019,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100020,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100021,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100022,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100023,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100025,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100026,"https://adamlink.nl/geo/street/oudezijds-kolk/3408",1876
100027,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100028,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100029,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100030,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100031,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100032,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
100033,"https://adamlink.nl/geo/street/oude-teertuinen/5680",1876
