locatiepunt,straat1876,straaturi
1,Kamperhoofd,https://adamlink.nl/geo/street/kamperhoofd/5681
2,Kamperhoofd,https://adamlink.nl/geo/street/kamperhoofd/5681
3,Kamperhoofd,https://adamlink.nl/geo/street/kamperhoofd/5681
4,Kamperhoofd,https://adamlink.nl/geo/street/kamperhoofd/5681
5,Kamperhoofd,https://adamlink.nl/geo/street/kamperhoofd/5681
6,Kamperhoofd,https://adamlink.nl/geo/street/kamperhoofd/5681
7,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
8,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
9,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
10,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
11,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
12,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
13,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
14,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
15,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
16,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
17,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
18,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
19,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
20,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
21,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
22,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
23,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
25,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
26,Oudezijds Kolk,https://adamlink.nl/geo/street/oudezijds-kolk/3408
27,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
28,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
29,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
30,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
31,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
32,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
33,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
34,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
35,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
36,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
37,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
38,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
39,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
40,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
41,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
42,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
43,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
44,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
45,Oude Teertuinen,https://adamlink.nl/geo/street/oude-teertuinen/5680
47,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
48,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
49,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
50,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
51,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
52,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
53,Olofspoort,
54,Olofspoort,
55,Olofspoort,
56,Olofspoort,
57,Olofspoort,
58,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
59,Engel Kapelsteeg,https://adamlink.nl/geo/street/enge-kapelsteeg/1257
60,Engel Kapelsteeg,https://adamlink.nl/geo/street/enge-kapelsteeg/1257
61,Engel Kapelsteeg,https://adamlink.nl/geo/street/enge-kapelsteeg/1257
62,Engel Kapelsteeg,https://adamlink.nl/geo/street/enge-kapelsteeg/1257
63,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
64,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
65,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
66,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
67,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
68,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
69,Zeedijk,https://adamlink.nl/geo/street/zeedijk/5154
70,Wijde Kapelsteeg,https://adamlink.nl/geo/street/wijde-kapelsteeg/5011
71,Wijde Kapelsteeg,https://adamlink.nl/geo/street/wijde-kapelsteeg/5011
72,Wijde Kapelsteeg,https://adamlink.nl/geo/street/wijde-kapelsteeg/5011
73,Wijde Kapelsteeg,https://adamlink.nl/geo/street/wijde-kapelsteeg/5011
74,Oudezijds Voorburgswal,
75,Oudezijds Voorburgswal,
76,Oudezijds Voorburgswal,
77,Oudezijds Voorburgswal,
78,Oudezijds Voorburgswal,
79,Oudezijds Voorburgswal,
80,Oudezijds Voorburgswal,
82,Oudezijds Armsteeg,https://adamlink.nl/geo/street/oudezijds-armsteeg/3407
83,Oudezijds Armsteeg,https://adamlink.nl/geo/street/oudezijds-armsteeg/3407
84,Oudezijds Armsteeg,https://adamlink.nl/geo/street/oudezijds-armsteeg/3407
85,Oudezijds Armsteeg,https://adamlink.nl/geo/street/oudezijds-armsteeg/3407
86,Oudezijds Armsteeg,https://adamlink.nl/geo/street/oudezijds-armsteeg/3407
87,Oudezijds Armsteeg,https://adamlink.nl/geo/street/oudezijds-armsteeg/3407
88,Oudezijds Armsteeg,https://adamlink.nl/geo/street/oudezijds-armsteeg/3407
89,Oudezijds Armsteeg,https://adamlink.nl/geo/street/oudezijds-armsteeg/3407
90,Oudezijds Armsteeg,https://adamlink.nl/geo/street/oudezijds-armsteeg/3407
91,Oudezijds Armsteeg,https://adamlink.nl/geo/street/oudezijds-armsteeg/3407
