occupationalTitleDeVries;hisco_uri
240;https://iisg.amsterdam/hisco/code/hisco/-1
aannemers;https://iisg.amsterdam/hisco/code/hisco/21240
advocaat;https://iisg.amsterdam/hisco/code/hisco/12110
ambachtsman;https://iisg.amsterdam/hisco/code/hisco/99999
ambtenaar;https://iisg.amsterdam/hisco/code/hisco/30000
apotheker;https://iisg.amsterdam/hisco/code/hisco/06710
artistiek beroep;https://iisg.amsterdam/hisco/code/hisco/17990
arts;https://iisg.amsterdam/hisco/code/hisco/06105
assuradeurs;https://iisg.amsterdam/hisco/code/hisco/44120
bakker;https://iisg.amsterdam/hisco/code/hisco/77610
bankiers, kassiers;https://iisg.amsterdam/hisco/code/hisco/33160
boekhouder;https://iisg.amsterdam/hisco/code/hisco/33110
cargadoors;https://iisg.amsterdam/hisco/code/hisco/22290
comm. in effecten;https://iisg.amsterdam/hisco/code/hisco/44140
commissionair;https://iisg.amsterdam/hisco/code/hisco/42230
convooiloper;https://iisg.amsterdam/hisco/code/hisco/31020
directeur;https://iisg.amsterdam/hisco/code/hisco/21110
drogist;https://iisg.amsterdam/hisco/code/hisco/41030
fabrikanten;https://iisg.amsterdam/hisco/code/hisco/21110
factor;https://iisg.amsterdam/hisco/code/hisco/-1
geemployeerde;https://iisg.amsterdam/hisco/code/hisco/-1
gepensioneerd;https://iisg.amsterdam/hisco/code/hisco/-2
grondeigenaar;https://iisg.amsterdam/hisco/code/hisco/-1
hoogleraar;https://iisg.amsterdam/hisco/code/hisco/13100
houtvlotter;https://iisg.amsterdam/hisco/code/hisco/63140
kantoorbediende;https://iisg.amsterdam/hisco/code/hisco/39310
koopman;https://iisg.amsterdam/hisco/code/hisco/41025
kruidenier;https://iisg.amsterdam/hisco/code/hisco/41030
landbouwer;https://iisg.amsterdam/hisco/code/hisco/61220
makelaar;https://iisg.amsterdam/hisco/code/hisco/44100
molenaar;https://iisg.amsterdam/hisco/code/hisco/77120
notaris;https://iisg.amsterdam/hisco/code/hisco/12310
onderwijzer;https://iisg.amsterdam/hisco/code/hisco/13200
ov. zelfstandigen;https://iisg.amsterdam/hisco/code/hisco/99999
pakhuisopzichter;https://iisg.amsterdam/hisco/code/hisco/22290
pastoor;https://iisg.amsterdam/hisco/code/hisco/14120
predikant;https://iisg.amsterdam/hisco/code/hisco/14120
rechter;https://iisg.amsterdam/hisco/code/hisco/12210
reders;https://iisg.amsterdam/hisco/code/hisco/44190
reiziger;https://iisg.amsterdam/hisco/code/hisco/43220
rentenier;https://iisg.amsterdam/hisco/code/hisco/-2
schipper;https://iisg.amsterdam/hisco/code/hisco/04217
slager;https://iisg.amsterdam/hisco/code/hisco/77310
sleper;https://iisg.amsterdam/hisco/code/hisco/04217
stalhouder;https://iisg.amsterdam/hisco/code/hisco/61240
suikerraffinadeurs;https://iisg.amsterdam/hisco/code/hisco/21110
tabakskoopman;https://iisg.amsterdam/hisco/code/hisco/41025
tabakswinkelier;https://iisg.amsterdam/hisco/code/hisco/41030
timmerman;https://iisg.amsterdam/hisco/code/hisco/95410
timmerman, makelaar;https://iisg.amsterdam/hisco/code/hisco/95410
vrij beroep;https://iisg.amsterdam/hisco/code/hisco/99999
werklieden;https://iisg.amsterdam/hisco/code/hisco/99900
wijnkoopman;https://iisg.amsterdam/hisco/code/hisco/41025
winkelier;https://iisg.amsterdam/hisco/code/hisco/41030
zonder;https://iisg.amsterdam/hisco/code/hisco/-2
