,caswgt,volgnr1y,buurty,huisnry,lftmy,gebplmy,bersmy,berpmy,aboeky,relimy,bsmy,lftvy,relivy,gebplvy,nrkindy,nrbodey,nrhgy,relhfdy,grondbly,pbly,patbly,jrhu1y,bervamy,bervavy,bermhuy,bergt1y,relgt1y,bergt2y,relgt2y,bergt3y,relgt3y,bergt4y,relgt4y,hulftmy,hulftvy,volgnr2y,bsvy,gebplv1y,jrhu2y,bervam2y,bervav2y,bermhu2y,bergt12y,relgt12y,bergt22y,relgt22y,bergt32y,relgt32y,bergt42y,relgt42y,hulftm2y,hulftv2y,bsv2y,gebplv2y,jrhu3y,bervam3y,bervav3y,bermhu3y,bergt13y,relgt13y,bergt23y,relgt23y,bergt33y,relgt33y,bergt43y,relgt43y,hulftm3y,hulftv3y,bsv3y,gebplv3y,tot3bly,grblgy,pblgy,patblgy,omvhhy,berpm00y,berpm0y,totbly,lftklasy,occupationalTitleDeVries,hisco,ordering,district,label,wkt,concat1854,locatiepunt,straat1909,nr1909,tvg1909,buurt1876,straat1876,steeg1876,nr1876,tvg1876,buurt1853,nr1853,tvg1853,concat1853,sectie1832,perceelnr1832,tvg1832,concat1832,WKT,nummer
0,1,100051,J,530,30,Amsterdam,LEERBEW,ambachtsman,als in bev.register,Rooms Katholiek,gehuwd,32,Rooms Katholiek,ov. Limburg,2,2,0,-1,68,66,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,174,4,4,3,6,2,21,2,3,ambachtsman,99999,9,https://adamlink.nl/geo/district/buurt-j/133,J,"POLYGON((4.893517 52.372645,4.893544 52.372997,4.893121 52.373267,4.894162 52.373958,4.89446 52.373823,4.897057 52.375528,4.897884 52.375194,4.897994 52.375261,4.89918 52.374824,4.8996 52.374724,4.898759 52.374124,4.897242 52.372943,4.895855 52.371864,4.894013 52.372443,4.894015 52.372543,4.893517 52.372645))",J530,603.0,Lange Niezel,6.0,,I,Lange Niezel,,6.0,,I,530.0,,J530,G,664.0,,G664,POINT (121706.530418015 487580.69074063),603.0
1,1,100101,E,18,46,Amsterdam,VERKEERSWEZEN,240,als in bev.register,Nederlands Hervormd,gehuwd,45,Nederlands Hervormd,Amsterdam,8,2,2,ouder,314,245,229,1828,vader overleden,uitdrager,werklieden,timmerman,geen familie,ambachtsman,geen familie,timmerman,geen familie,ambachtsman,geen familie,20,19,100102,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,788,6,5,5,14,2,24,4,4,240,-1,5,https://adamlink.nl/geo/district/buurt-e/130,E,"POLYGON((4.893517 52.372645,4.893478 52.372565,4.893131 52.372128,4.89251 52.370276,4.892263 52.369256,4.892234 52.369078,4.890971 52.36896,4.889363 52.368755,4.889358 52.369257,4.889483 52.369665,4.890601 52.371134,4.890721 52.371456,4.890619 52.372546,4.891511 52.37275,4.892183 52.372806,4.892769 52.372774,4.893517 52.372645))",E18,3237.0,,,,E,Kalverstraat,,33.0,,E,18.0,,E18,F,3593.0,,F3593,POINT (121285.059771918 487200.886322431),3237.0
2,1,100101,E,18,46,Amsterdam,VERKEERSWEZEN,240,als in bev.register,Nederlands Hervormd,gehuwd,45,Nederlands Hervormd,Amsterdam,8,2,2,ouder,314,245,229,1828,vader overleden,uitdrager,werklieden,timmerman,geen familie,ambachtsman,geen familie,timmerman,geen familie,ambachtsman,geen familie,20,19,100102,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,788,6,5,5,14,2,24,4,4,240,-1,5,https://adamlink.nl/geo/district/buurt-e/130,E,"POLYGON((4.893517 52.372645,4.893478 52.372565,4.893131 52.372128,4.89251 52.370276,4.892263 52.369256,4.892234 52.369078,4.890971 52.36896,4.889363 52.368755,4.889358 52.369257,4.889483 52.369665,4.890601 52.371134,4.890721 52.371456,4.890619 52.372546,4.891511 52.37275,4.892183 52.372806,4.892769 52.372774,4.893517 52.372645))",E18,3238.0,,,,E,Kalverstraat,,33.0,,E,18.0,,E18,F,3592.0,,F3592,POINT (121284.37664806 487194.434597103),3238.0
3,1,100151,AA,592,47,Amsterdam,TUSSENHANDEL,comm. in effecten,als in bev.register,Remonstrants,gehuwd,37,Nederlands Hervormd,Amsterdam,3,2,0,-1,0,90,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,154,1,4,4,7,6,65,2,4,comm. in effecten,44140,26,https://adamlink.nl/geo/district/buurt-aa/128,AA,"POLYGON((4.895997 52.363397,4.89626 52.359737,4.896386 52.35945,4.896808 52.359165,4.897377 52.359047,4.897528 52.358791,4.897701 52.357581,4.895814 52.357672,4.89464 52.357901,4.893378 52.358296,4.892399 52.358692,4.891632 52.358862,4.890424 52.358812,4.891657 52.362207,4.891854 52.362174,4.892446 52.363845,4.895997 52.363397))",AA592,19026.0,,,,aa,Prinsengracht,,648.0,,aa,592.0,,AA592,i,2622.0,,i2622,POINT (121274.638018812 486116.20396126),19026.0
4,1,100201,LL,379,65,Amsterdam,WARENHANDEL,koopman,als in bev.register,Rooms Katholiek,gehuwd,60,Rooms Katholiek,Amsterdam,3,3,0,-1,318,312,265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100202,-1,-1,1819,ambachtsman,vader overleden,koopman,koopman,geen familie,werklieden,geen familie,ambachtsman,7,werklieden,geen familie,31,25,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,895,6,6,6,8,6,61,4,6,koopman,41025,36,https://adamlink.nl/geo/district/buurt-ll/116,LL,"POLYGON((4.884287 52.375964,4.887764 52.374734,4.88796 52.374901,4.889333 52.37453,4.888793 52.373206,4.888539 52.372223,4.882941 52.372422,4.882965 52.372725,4.883129 52.374036,4.883228 52.374843,4.883755 52.375412,4.884287 52.375964))",LL379,11919.0,,,,ll,Leliegracht,,21.0,,ll,379.0,,LL379,e,3707.0,,e3707,POINT (120905.330094652 487577.96428244),11919.0
5,1,100251,X,704,66,Amsterdam,323,ambtenaar,als in bev.register,Nederlands Hervormd,gehuwd,59,Nederlands Hervormd,Amsterdam,0,2,3,-1,150,303,0,1816,vader overleden,ambtenaar,koopman,ambtenaar,oom/neef man,koopman,broer/zwager man,lid Staten-Generaal,oom/neef vrouw,lid gemeenteraad asd,oom/neef vrouw,29,21,100252,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,453,5,6,1,7,4,41,3,6,ambtenaar,30000,23,https://adamlink.nl/geo/district/buurt-x/127,X,"POLYGON((4.889485 52.367234,4.890137 52.367129,4.891595 52.366924,4.893014 52.366877,4.893521 52.366977,4.895835 52.366326,4.895825 52.36613,4.895997 52.363397,4.892446 52.363845,4.889451 52.364267,4.886428 52.365963,4.88795 52.36668,4.889485 52.367234))",X704,17717.0,,,,x,Keizersgracht,,493.0,,x,704.0,,X704,i,985.0,,i985,POINT (121001.774391382 486505.627343026),17717.0
6,1,100301,F,119,36,N-Brabant steden,WARENHANDEL,drogist,als in bev.register,Rooms Katholiek,gehuwd,31,Rooms Katholiek,N-Brabant steden,0,1,0,-1,0,92,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,1,4,4,3,2,22,2,3,drogist,41030,6,https://adamlink.nl/geo/district/buurt-f/121,F,"POLYGON((4.887838 52.368759,4.888539 52.372223,4.888825 52.372173,4.889522 52.372247,4.890619 52.372546,4.890721 52.371456,4.890601 52.371134,4.889483 52.369665,4.889358 52.369257,4.889363 52.368755,4.888607 52.368031,4.887838 52.368759))",F119,3890.0,,,,F,Nieuwezijds Voorburgwal,,280.0,,F,119.0,,F119,F,1701.0,,F1701,POINT (121146.350060565 487150.243089127),3890.0
7,1,100351,X,5,33,Amsterdam,VOEDINGS EN GENOTMID,fabrikanten,als in bev.register,Rooms Katholiek,gehuwd,24,Rooms Katholiek,Amsterdam,1,1,0,-1,0,161,19,1850,zonder,vader overleden,fabrikanten,wijnkoopman,broer/zwager vrouw,timmerman,broer/zwager vrouw,zonder,geen familie,ambtenaar,geen familie,29,21,100352,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,1,5,2,4,1,11,2,3,fabrikanten,21110,23,https://adamlink.nl/geo/district/buurt-x/127,X,"POLYGON((4.889485 52.367234,4.890137 52.367129,4.891595 52.366924,4.893014 52.366877,4.893521 52.366977,4.895835 52.366326,4.895825 52.36613,4.895997 52.363397,4.892446 52.363845,4.889451 52.364267,4.886428 52.365963,4.88795 52.36668,4.889485 52.367234))",X5,17004.0,,,,x,Singel,,486.0,,x,5.0,,X5,i,5.0,,i5,POINT (121126.749237691 486679.888399416),17004.0
8,1,100401,N,427,46,Amsterdam,WARENHANDEL,koopman,als in bev.register,Nederlands Hervormd,gehuwd,45,Nederlands Hervormd,Amsterdam,4,1,0,-1,117,48,87,1834,zonder,zonder,koopman,zonder,vader man,zonder,vader vrouw,artistiek beroep,broer/zwager vrouw,commissionair,geen familie,26,25,100402,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,252,5,3,4,7,6,61,3,4,koopman,41025,13,https://adamlink.nl/geo/district/buurt-n/139,N,"POLYGON((4.903181 52.378138,4.904375 52.377763,4.903404 52.375199,4.903237 52.374663,4.903266 52.374263,4.903691 52.373721,4.904847 52.372978,4.906362 52.372056,4.904815 52.371385,4.90125 52.373394,4.900958 52.373567,4.901199 52.374153,4.901252 52.37424,4.902204 52.376096,4.903181 52.378138))",N427,22134.0,,,,n,Geldersekade,,71.0,,n,427.0,,N427,g,4083.0,,g4083,POINT (121959.331645605 487528.347107028),22134.0
9,1,100501,D,81,42,Z-Holl. steden,303,notaris,als in bev.register,Nederlands Hervormd,ongehuwd,-1,-1,-1,0,0,3,-1,0,99,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100502,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,137,1,4,3,4,2,23,2,4,notaris,12310,4,https://adamlink.nl/geo/district/buurt-d/131,D,"POLYGON((4.892234 52.369078,4.892267 52.368814,4.893863 52.367341,4.893521 52.366977,4.893014 52.366877,4.891595 52.366924,4.890137 52.367129,4.889485 52.367234,4.888607 52.368031,4.889363 52.368755,4.890971 52.36896,4.892234 52.369078))",D81,5244.0,,,,D,Rokin,,152.0,,D,81.0,,D81,F,3381.0,,F3381,POINT (121309.729045562 486793.95375132),5244.0
