caswgt,volgnr1y,buurty,huisnry,lftmy,gebplmy,bersmy,berpmy,aboeky,relimy,bsmy,lftvy,relivy,gebplvy,nrkindy,nrbodey,nrhgy,relhfdy,grondbly,pbly,patbly,jrhu1y,bervamy,bervavy,bermhuy,bergt1y,relgt1y,bergt2y,relgt2y,bergt3y,relgt3y,bergt4y,relgt4y,hulftmy,hulftvy,volgnr2y,bsvy,gebplv1y,jrhu2y,bervam2y,bervav2y,bermhu2y,bergt12y,relgt12y,bergt22y,relgt22y,bergt32y,relgt32y,bergt42y,relgt42y,hulftm2y,hulftv2y,bsv2y,gebplv2y,jrhu3y,bervam3y,bervav3y,bermhu3y,bergt13y,relgt13y,bergt23y,relgt23y,bergt33y,relgt33y,bergt43y,relgt43y,hulftm3y,hulftv3y,bsv3y,gebplv3y,tot3bly,grblgy,pblgy,patblgy,omvhhy,berpm00y,berpm0y,totbly,lftklasy
1,100051,9,530,30,1,81,210,1,8,1,32,8,14,2,2,0,-1,68,66,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,174,4,4,3,6,2,21,2,3
1,100101,5,18,46,1,207,240,1,1,1,45,1,1,8,2,2,1,314,245,229,1828,0,692,310,211,7,210,7,211,7,210,7,20,19,100102,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,788,6,5,5,14,2,24,4,4
1,100151,26,592,47,1,239,651,1,3,1,37,1,1,3,2,0,-1,0,90,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,154,1,4,4,7,6,65,2,4
1,100201,36,379,65,1,193,610,1,8,1,60,8,1,3,3,0,-1,318,312,265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100202,-1,-1,1819,210,0,610,610,7,310,7,210,7,310,7,31,25,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,895,6,6,6,8,6,61,4,6
1,100251,23,704,66,1,323,410,1,1,1,59,1,1,0,2,3,-1,150,303,0,1816,0,410,610,410,3,610,2,453,6,451,6,29,21,100252,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,453,5,6,1,7,4,41,3,6
1,100301,6,119,36,11,198,221,1,8,1,31,8,11,0,1,0,-1,0,92,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,1,4,4,3,2,22,2,3
1,100351,23,5,33,1,167,110,1,8,1,24,8,1,1,1,0,-1,0,161,19,1850,540,0,110,612,5,211,5,540,7,410,7,29,21,100352,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,1,5,2,4,1,11,2,3
1,100401,13,427,46,1,191,610,1,1,1,45,1,1,4,1,0,-1,117,48,87,1834,540,540,610,540,1,540,4,443,5,650,7,26,25,100402,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,252,5,3,4,7,6,61,3,4
1,100501,4,81,42,5,303,233,1,1,3,-1,-1,-1,0,0,3,-1,0,99,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100502,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,137,1,4,3,4,2,23,2,4
1,100451,25,680,36,1,255,232,1,1,1,32,1,1,0,3,0,-1,97,216,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100452,-1,-1,1852,0,610,232,610,4,540,5,650,3,540,3,34,30,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,318,4,5,2,5,2,23,3,3
1,100551,13,64,65,1,208,694,1,8,1,73,8,20,4,1,0,-1,57,79,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,4,4,2,7,6,69,2,6
1,100601,36,114,37,3,204,253,1,1,1,28,7,1,4,0,1,2,0,118,26,1847,220,0,253,212,6,212,6,210,7,210,7,30,21,106021,0,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,144,1,5,3,7,2,25,2,3
1,100651,46,369,72,1,360,540,3,5,1,56,5,16,2,0,0,-1,108,12,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100652,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,5,2,1,4,5,54,2,7
1,100701,21,412,68,1,251,231,1,9,1,46,9,1,10,1,0,-1,82,54,19,1824,0,693,231,693,4,231,2,540,7,231,7,38,22,100702,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,155,4,4,2,13,2,23,2,6
1,100751,22,649,33,1,202,254,1,1,1,37,6,1,0,0,0,-1,0,189,38,1848,310,213,254,220,3,410,7,250,7,210,7,27,31,100752,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227,1,5,3,2,2,25,3,3
1,100801,13,426,40,1,251,231,1,4,1,32,4,1,2,2,1,1,53,142,19,1840,540,540,231,231,7,112,7,231,7,410,7,26,18,100802,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,214,4,5,2,7,2,23,3,4
