Religion;IPUMS;NAPP;HL7;LICR;LICR_Class;DBpedia
OTHER;;;;9000;;
Free Thinker;;9710;;9001;9000;
Non Sectarian;;9720;;9002;9000;
Truth Seeker;;9730;;9003;9000;
Heathen;;9800;;9004;9000;http://dbpedia.org/page/Heathen
Paganism;;9810;1037;9005;9000;http://dbpedia.org/page/Paganism
Infidel;;9820;;9006;9000;
Stony;;9830;;9007;9000;
Secularist;;9840;;9008;9000;
Idealist;;9850;;9009;9000;
Socialist;;9860;;9010;9000;
Agnostic;;9870;1004;9011;9000;http://dbpedia.org/page/Agnosticism
Zoroastrianism;7040;;1060;9012;9000;http://dbpedia.org/page/Zoroastrianism
Rastafarian;7044;;;9013;9000;http://dbpedia.org/page/Rastafari
Bahai;7001;;;9014;9000;http://dbpedia.org/page/Bah%C3%A1%27%C3%AD_Faith
Indigenous;7018;;;9015;9000;
Atheist;;9880;1007;9016;9000;http://dbpedia.org/page/Atheism
Nonbeliever;;9890;;9017;9000;
None/No Religion;;9895;;9018;9000;
Pastafarianism;;;;9019;9000;http://dbpedia.org/page/Flying_Spaghetti_Monster
Jediism;;;;9020;9000;http://dbpedia.org/page/Jediism
Mysticism and Occult;;;;9021;9000;
EAST ASIAN ;7021;;;1000;;
Taoism;7055;9500;1050;1100;1000;http://dbpedia.org/page/Taoism
Confucianism;7037;9400;1014;1200;1000;http://dbpedia.org/page/Confucianism
Shinto;7054;9310;1046;1300;1000;http://dbpedia.org/page/Shinto
Other;;;;1400;1000;
INDIAN ;;;;2000;;
Hinduism;3000;9610;1020;2100;2000;http://dbpedia.org/page/Hinduism
Buddhism;2000;9300;1059;2200;2000;http://dbpedia.org/page/Buddhism
Sikhism;7002;9620;1047;2300;2000;http://dbpedia.org/page/Sikhism
Jainism;7033;;1024;2400;2000;http://dbpedia.org/page/Jainism
Bhakti movement;;;;2500;2000;http://dbpedia.org/page/Bhakti_movement
Din-e Ilahi;;;;2600;2000;http://dbpedia.org/page/Din-i_Ilahi
Meivazhi;;;;2700;2000;http://dbpedia.org/page/Meivazhi
Other Indian;;;;2800;2000;
ISLAM;5000;9200;;3000;;http://dbpedia.org/page/Islam
Sunni;5006;;1049;3100;3000;http://dbpedia.org/page/Sunni_Islam
