obs,pop,buurt,buurt
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R97-h,266,afwezig (111 schepen),afwezig (111 schepen)
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F46-h,406,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G46-h,4,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-H47-h,7,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J46-h,872,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K46-h,1861,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L46-h,2202,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M46-h,1846,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N46-h,2193,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O46-h,15,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P46-h,9,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q46-h,48,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R46-h,5,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F71-h,722,Buurt A.A,https://adamlink.nl/geo/district/buurt-aa/128
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G71-h,10,Buurt A.A,https://adamlink.nl/geo/district/buurt-aa/128
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J71-h,1362,Buurt A.A,https://adamlink.nl/geo/district/buurt-aa/128
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K71-h,2892,Buurt A.A,https://adamlink.nl/geo/district/buurt-aa/128
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L71-h,3712,Buurt A.A,https://adamlink.nl/geo/district/buurt-aa/128
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M71-h,2879,Buurt A.A,https://adamlink.nl/geo/district/buurt-aa/128
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N71-h,3681,Buurt A.A,https://adamlink.nl/geo/district/buurt-aa/128
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O71-h,13,Buurt A.A,https://adamlink.nl/geo/district/buurt-aa/128
