rij,cel,obs,pop,,,,,
100,I100,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I100-h,294,100,Buurt R,https://adamlink.nl/geo/district/buurt-r/146,,Kom
101,I101,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I101-h,227,101,Buurt S,https://adamlink.nl/geo/district/buurt-s/145,,Kom
102,I102,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I102-h,1,102,Buurt T,https://adamlink.nl/geo/district/buurt-t/149,Mariniers-kazerne,Kom
103,I103,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I103-h,980,103,Buurt T,https://adamlink.nl/geo/district/buurt-t/149,Overige huizen,Kom
108,I108,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I108-h,1,108,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Kosthuis No. 2 der Maatschappij tot Nut van 't Algemeen,Kom
109,I109,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I109-h,1,109,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Zeemanshuis,Kom
110,I110,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I110-h,1,110,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Kazerne Oranje-Nassau,Kom
111,I111,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I111-h,619,111,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Overige huizen,Kom
112,I112,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I112-h,1,112,Buurt V,https://adamlink.nl/geo/district/buurt-v/147,Ned. Israël. Meisjesweeshuis,Kom
113,I113,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I113-h,1,113,Buurt V,https://adamlink.nl/geo/district/buurt-v/147,Port. Israël. Zieken- en Oude vrouwenhuis,Kom
