obs,pop,sex,description,buurt
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I41-h,1788,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt A,https://adamlink.nl/geo/district/buurt-a/134
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I42-h,1422,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt B,https://adamlink.nl/geo/district/buurt-b/136
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I43-h,14,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt B Schepen,https://adamlink.nl/geo/district/buurt-b/136
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I44-h,2739,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt C,https://adamlink.nl/geo/district/buurt-c/141
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I45-h,20,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt C Schepen,https://adamlink.nl/geo/district/buurt-c/141
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I46-h,1295,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt D,https://adamlink.nl/geo/district/buurt-d/131
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I47-h,1,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt D Schip,https://adamlink.nl/geo/district/buurt-d/131
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I48-h,1613,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt E,https://adamlink.nl/geo/district/buurt-bb/126
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I49-h,1237,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt F,https://adamlink.nl/geo/district/buurt-f/121
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I50-h,10,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt F Schepen,https://adamlink.nl/geo/district/buurt-f/121
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I51-h,1328,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt G,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I52-h,13,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt G Schepen,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I53-h,2266,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt H,https://adamlink.nl/geo/district/buurt-h/129
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I54-h,22,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt H Schepen,https://adamlink.nl/geo/district/buurt-h/129
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I55-h,2271,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt I,https://adamlink.nl/geo/district/buurt-j/133
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I56-h,2430,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt K,https://adamlink.nl/geo/district/buurt-k/135
http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-I57-h,1,http://purl.org/linked-data/sdmx/2009/code#sex-M,Kom. Buurt K Schip,https://adamlink.nl/geo/district/buurt-k/135
